Państwo;Kontynent;Stolica;Powierzchnia (km²);Liczba ludności
Afganistan;Azja;Kabul;652 230;30 419 928
Albania;Europa;Tirana;28 748;3 195 000
Algieria;Afryka;Algier;2 381 741;34 178 188
Andora;Europa;Andora;468;84 525
Angola;Afryka;Luanda;1 246 700;17 312 000
Antigua i Barbuda;Ameryka Północna;Saint John's;435,3;85 420
Arabia Saudyjska;Azja;Rijad;2 149 690;28 686 633
Argentyna;Ameryka Południowa;Buenos Aires;2 766 890;40 913 584
Armenia;Azja;Erywań;29 800;3 259 100
Australia;Australia i Oceania;Canberra;7 686 850;22 343 203
Austria;Europa;Wiedeń;83 871;8 402 549
Azerbejdżan;Azja;Baku;86 600;9 493 600
Bahamy;Ameryka Północna;Nassau;13 940;307 451
Bahrajn;Azja;Manama;620;1 323 535
Bangladesz;Azja;Dhaka;144 000;162 221 000
Barbados;Ameryka Północna;Bridgetown;431;281 968
Belgia;Europa;Bruksela;30 528;10 584 534
Belize;Ameryka Północna;Belmopan;22 966;266 440
Benin;Afryka;Porto-Novo;112 620;8 295 000
Bhutan;Azja;Thimphu;47 000;682 321
Białoruś;Europa;Mińsk;207 600;9 474 200
Boliwia;Ameryka Południowa;Sucre (stolica konstytucyjna), La Paz (siedziba rządu);1 098 580;9 248 000
Bośnia i Hercegowina;Europa;Sarajewo;51 129;4 590 310
Botswana;Afryka;Gaborone;600 370;1 842 000
Brazylia;Ameryka Południowa;Brasilia;8 511 965;201 103 330
Brunei;Azja;Bandar Seri Begawan;5770;381 371
Bułgaria;Europa;Sofia;110 910;7 531 000
Burkina Faso;Afryka;Wagadugu;274 200;15 746 232
Burundi;Afryka;Gitega;27 830;8 691 000
