Pa?stwo;Kontynent;Stolica;Powierzchnia (km?);Liczba ludno?ci;G?sto?? zaludnienia (os./km?)
Afganistan;Azja;Kabul;652ÿ230;30ÿ419ÿ928;45,74
Albania;Europa;Tirana;28ÿ748;3ÿ195ÿ000;111,1
Algieria;Afryka;Algier;2ÿ381ÿ741;34ÿ178ÿ188;14,3
Andora;Europa;Andora;468;84ÿ525;180,6
Angola;Afryka;Luanda;1ÿ246ÿ700;17ÿ312ÿ000;14
Antigua i Barbuda;Ameryka P??nocna;Saint John's;435,3;85ÿ420;196,2
Arabia Saudyjska;Azja;Rijad;2ÿ149ÿ690;28ÿ686ÿ633;13,34
Argentyna;Ameryka Po?udniowa;Buenos Aires;2ÿ766ÿ890;40ÿ913ÿ584;15
Armenia;Azja;Erywa?;29ÿ800;3ÿ259ÿ100;108,4
Australia;Australia i Oceania;Canberra;7ÿ686ÿ850;22ÿ343ÿ203;2,8
Austria;Europa;Wiede?;83ÿ871;8ÿ402ÿ549;100,1
Azerbejd?an;Azja;Baku;86ÿ600;9ÿ493ÿ600;109
Bahamy;Ameryka P??nocna;Nassau;13ÿ940;307ÿ451;21
Bahrajn;Azja;Manama;620;1ÿ323ÿ535;1189
Bangladesz;Azja;Dhaka;144ÿ000;162ÿ221ÿ000;1099
Barbados;Ameryka P??nocna;Bridgetown;431;281ÿ968;654
Belgia;Europa;Bruksela;30ÿ528;10ÿ584ÿ534;346
Belize;Ameryka P??nocna;Belmopan;22ÿ966;266ÿ440;11,6
Benin;Afryka;Porto-Novo;112ÿ620;8ÿ295ÿ000;74
Bhutan;Azja;Thimphu;47ÿ000;682ÿ321;14
Bia?oru?;Europa;Mi?sk;207ÿ600;9ÿ474ÿ200;46
Boliwia;Ameryka Po?udniowa;Sucre (stolica konstytucyjna), La Paz (siedziba rz?du);1ÿ098ÿ580;9ÿ248ÿ000;8,4
Bo?nia i Hercegowina;Europa;Sarajewo;51ÿ129;4ÿ590ÿ310;86
Botswana;Afryka;Gaborone;600ÿ370;1ÿ842ÿ000;3
Brazylia;Ameryka Po?udniowa;Brasilia;8ÿ511ÿ965;201ÿ103ÿ330;23
Brunei;Azja;Bandar Seri Begawan;5770;381ÿ371;66
Bu?garia;Europa;Sofia;110ÿ910;7ÿ531ÿ000;67,9
Burkina Faso;Afryka;Wagadugu;274ÿ200;15ÿ746ÿ232;57,4
Burundi;Afryka;Gitega;27ÿ830;8ÿ691ÿ000;312
Chile;Ameryka Po?udniowa;Santiago;756ÿ950;16ÿ601ÿ707;22,1
Chiny;Azja;Pekin;9ÿ596ÿ960;1ÿ347ÿ374ÿ752;140,4
Chorwacja;Europa;Zagrzeb;56ÿ542;4ÿ437ÿ460;79
Cypr;Azja;Nikozja;9250;794ÿ600;132
Czad;Afryka;Nd?amena;1ÿ284ÿ000;10ÿ758ÿ945;7,5
Czarnog?ra;Europa;Podgorica;13ÿ812;672ÿ180;48,7
Czechy;Europa;Praga;78ÿ866;10ÿ532ÿ770;133
Dania;Europa;Kopenhaga;43ÿ098,31 (2ÿ210ÿ579 z Grenlandi? i Wyspami Owczymi);5ÿ540ÿ241;128,4
Demokratyczna Republika Konga;Afryka;Kinszasa;2ÿ344ÿ858;66ÿ515ÿ000;28
Dominika;Ameryka P??nocna;Roseau;754;72ÿ000;91,5
Dominikana;Ameryka P??nocna;Santo Domingo;48ÿ730;9ÿ049ÿ595;185
D?ibuti;Afryka;D?ibuti;23ÿ200;506ÿ221;21
Egipt;Afryka, Azja;Kair;1ÿ001ÿ450;80ÿ471ÿ869;80
Ekwador;Ameryka Po?udniowa;Quito;283ÿ560;13ÿ928ÿ000;49
Erytrea;Afryka;Asmara;121ÿ320;5ÿ028ÿ000;41
Estonia;Europa;Tallinn;45ÿ226;1ÿ340ÿ122;29
Eswatini;Afryka;Mbabane;17ÿ363;1ÿ138ÿ227;65,5
Etiopia;Afryka;Addis Abeba;1ÿ127ÿ127;81ÿ238ÿ000;72
Fid?i;Australia i Oceania;Suva;18ÿ272;849ÿ000;46,5
Filipiny;Azja;Manila;300ÿ000;92ÿ681ÿ000;309
Finlandia;Europa;Helsinki;338ÿ145;5ÿ313ÿ026;15,71
Francja;Europa;Pary?;675ÿ417;66ÿ000ÿ000;98
Gabon;Afryka;Libreville;267ÿ667;1ÿ454ÿ867;5,4
Gambia;Afryka;Band?ul;11ÿ295;1ÿ690ÿ000;150
Ghana;Afryka;Akra;239ÿ460;23ÿ000ÿ000;96
Grecja;Europa;Ateny;131ÿ957;11ÿ216ÿ708;85,01
Grenada;Ameryka P??nocna;Saint George's;344;89ÿ258;262
Gruzja;Europa/Azja;Tbilisi;69ÿ700;4ÿ630ÿ841;67
Gujana;Ameryka Po?udniowa;Georgetown;214ÿ970;769ÿ095;3,6
Gwatemala;Ameryka P??nocna;Gwatemala;108ÿ890;12ÿ013ÿ907;119
Gwinea;Afryka;Konakry;245ÿ857;9ÿ950ÿ670;40,5
Gwinea Bissau;Afryka;Bissau;36ÿ120;1ÿ475ÿ000;41
Gwinea R?wnikowa;Afryka;Malabo;28ÿ051,46;616ÿ459;22
Haiti;Ameryka P??nocna;Port-au-Prince;27ÿ750;8ÿ925ÿ000;322
Hiszpania;Europa;Madryt;504ÿ645;47ÿ150ÿ819;93,43
Holandia;Europa;Amsterdam (stolica konstytucyjna), Haga (stolica administracyjna);41ÿ526;16ÿ509ÿ303;397,6
Honduras;Ameryka P??nocna;Tegucigalpa;112ÿ090;7ÿ325ÿ000;65
Indie;Azja;Nowe Delhi;3ÿ287ÿ590;1ÿ166ÿ079ÿ217;354,7
Indonezja;Azja;D?akarta;1ÿ919ÿ440;242ÿ968ÿ342;124
Irak;Azja;Bagdad;438ÿ317;30ÿ399ÿ572;69,54
Iran;Azja;Teheran;1ÿ648ÿ195;70ÿ495ÿ782;43
Irlandia;Europa;Dublin;70ÿ273;4ÿ581ÿ269;63
Islandia;Europa;Reykjav?k;103ÿ125;306ÿ694;2,5
Izrael;Azja;Jerozolima;22ÿ072;7ÿ653ÿ600;351
Jamajka;Ameryka P??nocna;Kingston;10ÿ991;2ÿ700ÿ000;245
Japonia;Azja;Tokio;377ÿ835;126ÿ475ÿ664;336,3
Jemen;Azja;Sana;527ÿ968;23ÿ495ÿ361;44
Jordania;Azja;Amman;92ÿ300;5ÿ759ÿ732;62
Kambod?a;Azja;Phnom Penh;181ÿ040;13ÿ388ÿ910;75
Kamerun;Afryka;Jaunde;475ÿ440;18ÿ100ÿ000;38
Kanada;Ameryka P??nocna;Ottawa;9ÿ976ÿ140;34ÿ110ÿ000;3,41
Katar;Azja;Doha;11ÿ437;928ÿ635;81
Kazachstan;Azja, Europa;Astana;2ÿ717ÿ300;15ÿ399ÿ437;5,67
Kenia;Afryka;Nairobi;582ÿ650;37ÿ953ÿ840;68,6
Kirgistan;Azja;Biszkek;198ÿ500;5ÿ357ÿ000;27
Kiribati;Australia i Oceania;Bairiki;811;103ÿ092;127
Kolumbia;Ameryka Po?udniowa;Bogota;1ÿ139ÿ825;45ÿ730ÿ834;40,1
Komory;Afryka;Moroni;2170;671ÿ247;309
Kongo;Afryka;Brazzaville;342ÿ000;3ÿ756ÿ000;11,2
Korea Po?udniowa;Azja;Seul;99ÿ720;50ÿ062ÿ000;500
Korea P??nocna;Azja;Pjongjang;120ÿ540;22ÿ757ÿ275;188,8
Kostaryka;Ameryka P??nocna;San Jos?;51ÿ100;4ÿ325ÿ000;85
Kuba;Ameryka P??nocna;Hawana;110ÿ860;11ÿ424ÿ000;103
